opprettet,Første,Andre,Tredje,Fjerde,Femte,Sjette,Syvende
2021-09-26,3.0,2.0,11.0,4.0,1.1099999999999999,1.0,14.3
2021-09-27,557.0,484.0,238.0,99.0,206.09,242.0,309.40000000000003
2021-09-28,243.0,326.0,107.0,44.0,89.91,163.0,139.1
2021-09-29,261.0,282.0,87.0,34.0,96.57,141.0,113.10000000000001
2021-09-30,567.0,289.0,333.0,134.0,209.79,144.5,432.90000000000003
2021-10-01,440.0,411.0,197.0,64.0,162.8,205.5,256.1
2021-10-02,3.0,1.0,3.0,,1.1099999999999999,0.5,3.9000000000000004
2021-10-03,5.0,3.0,9.0,,1.85,1.5,11.700000000000001
2021-10-04,771.0,502.0,303.0,129.0,285.27,251.0,393.90000000000003
2021-10-05,274.0,263.0,121.0,38.0,101.38,131.5,157.3
2021-10-06,287.0,282.0,120.0,48.0,106.19,141.0,156.0
2021-10-07,271.0,242.0,111.0,51.0,100.27,121.0,144.3
2021-10-08,227.0,252.0,106.0,36.0,83.99,126.0,137.8
2021-10-09,49.0,15.0,20.0,8.0,18.13,7.5,26.0
2021-10-10,10.0,8.0,11.0,,3.7,4.0,14.3
2021-10-11,671.0,457.0,250.0,92.0,248.27,228.5,325.0
2021-10-12,209.0,276.0,90.0,34.0,77.33,138.0,117.0
2021-10-13,232.0,285.0,84.0,31.0,85.84,142.5,109.2
2021-10-14,184.0,231.0,101.0,39.0,68.08,115.5,131.3
2021-10-15,191.0,185.0,116.0,33.0,70.67,92.5,150.8
2021-10-16,101.0,39.0,68.0,27.0,37.37,19.5,88.4
2021-10-17,4.0,6.0,5.0,2.0,1.48,3.0,6.5
2021-10-18,601.0,221.0,247.0,74.0,222.37,110.5,321.1
2021-10-19,424.0,461.0,191.0,45.0,156.88,230.5,248.3
2021-10-20,284.0,279.0,117.0,42.0,105.08,139.5,152.1
2021-10-21,252.0,340.0,117.0,37.0,93.24,170.0,152.1
2021-10-22,190.0,221.0,88.0,24.0,70.3,110.5,114.4
2021-10-23,116.0,52.0,63.0,32.0,42.92,26.0,81.9
2021-10-24,4.0,1.0,8.0,2.0,1.48,0.5,10.4
2021-10-25,631.0,367.0,238.0,95.0,233.47,183.5,309.40000000000003
2021-10-26,324.0,329.0,145.0,45.0,119.88,164.5,188.5
2021-10-27,251.0,241.0,97.0,54.0,92.87,120.5,126.10000000000001
2021-10-28,285.0,388.0,113.0,42.0,105.45,194.0,146.9
2021-10-29,204.0,284.0,71.0,29.0,75.48,142.0,92.3
2021-10-30,1.0,3.0,5.0,2.0,0.37,1.5,6.5
2021-10-31,2.0,,5.0,,0.74,,6.5
2021-11-01,1175.0,401.0,596.0,132.0,434.75,200.5,774.8000000000001
2021-11-02,524.0,127.0,233.0,63.0,193.88,63.5,302.90000000000003
2021-11-03,364.0,76.0,167.0,62.0,134.68,38.0,217.1
2021-11-04,310.0,72.0,134.0,47.0,114.7,36.0,174.20000000000002
2021-11-05,179.0,39.0,141.0,32.0,66.23,19.5,183.3
2021-11-06,1.0,,6.0,,0.37,,7.800000000000001
2021-11-07,1.0,,2.0,,0.37,,2.6
2021-11-08,570.0,127.0,343.0,65.0,210.9,63.5,445.90000000000003
2021-11-09,575.0,64.0,353.0,47.0,212.75,32.0,458.90000000000003
2021-11-10,450.0,41.0,244.0,36.0,166.5,20.5,317.2
2021-11-11,337.0,21.0,158.0,18.0,124.69,10.5,205.4
2021-11-12,216.0,21.0,117.0,4.0,79.92,10.5,152.1
2021-11-13,141.0,1.0,80.0,,52.17,0.5,104.0
2021-11-14,3.0,,7.0,,1.1099999999999999,,9.1
2021-11-15,650.0,11.0,410.0,19.0,240.5,5.5,533.0
2021-11-16,404.0,24.0,249.0,8.0,149.48,12.0,323.7
2021-11-17,376.0,129.0,178.0,61.0,139.12,64.5,231.4
2021-11-18,340.0,233.0,180.0,59.0,125.8,116.5,234.0
2021-11-19,278.0,186.0,139.0,26.0,102.86,93.0,180.70000000000002
2021-11-20,128.0,31.0,98.0,24.0,47.36,15.5,127.4
2021-11-21,2.0,2.0,1.0,,0.74,1.0,1.3
2021-11-22,742.0,332.0,347.0,55.0,274.54,166.0,451.1
2021-11-23,418.0,228.0,224.0,61.0,154.66,114.0,291.2
2021-11-24,369.0,208.0,181.0,40.0,136.53,104.0,235.3
2021-11-25,330.0,194.0,134.0,22.0,122.1,97.0,174.20000000000002
2021-11-26,229.0,133.0,104.0,20.0,84.73,66.5,135.20000000000002
2021-11-27,9.0,3.0,13.0,1.0,3.33,1.5,16.900000000000002
2021-11-28,72.0,8.0,59.0,5.0,26.64,4.0,76.7
2021-11-29,594.0,198.0,309.0,38.0,219.78,99.0,401.7
2021-11-30,563.0,250.0,294.0,46.0,208.31,125.0,382.2
2021-12-01,822.0,198.0,545.0,30.0,304.14,99.0,708.5
2021-12-02,580.0,174.0,398.0,14.0,214.6,87.0,517.4
2021-12-03,327.0,182.0,188.0,8.0,120.99,91.0,244.4
2021-12-04,167.0,31.0,73.0,7.0,61.79,15.5,94.9
2021-12-05,5.0,4.0,5.0,,1.85,2.0,6.5
2021-12-06,843.0,215.0,419.0,15.0,311.90999999999997,107.5,544.7
2021-12-07,482.0,157.0,216.0,15.0,178.34,78.5,280.8
2021-12-08,448.0,153.0,262.0,7.0,165.76,76.5,340.6
2021-12-09,352.0,235.0,168.0,17.0,130.24,117.5,218.4
2021-12-10,236.0,160.0,128.0,11.0,87.32,80.0,166.4
2021-12-11,3.0,6.0,,3.0,1.1099999999999999,3.0,
2021-12-12,,1.0,,1.0,,0.5,
2021-12-13,776.0,233.0,306.0,28.0,287.12,116.5,397.8
2021-12-14,661.0,3073.0,353.0,225.0,244.57,1536.5,458.90000000000003
2021-12-15,420.0,1365.0,196.0,146.0,155.4,682.5,254.8
2021-12-16,352.0,357.0,172.0,40.0,130.24,178.5,223.6
2021-12-17,346.0,443.0,146.0,33.0,128.02,221.5,189.8
2021-12-18,215.0,74.0,110.0,17.0,79.55,37.0,143.0
2021-12-19,4.0,5.0,9.0,2.0,1.48,2.5,11.700000000000001
2021-12-20,746.0,496.0,369.0,93.0,276.02,248.0,479.7
2021-12-21,328.0,424.0,166.0,47.0,121.36,212.0,215.8
2021-12-22,233.0,377.0,124.0,27.0,86.21,188.5,161.20000000000002
2021-12-23,164.0,215.0,113.0,13.0,60.68,107.5,146.9
2021-12-24,158.0,45.0,84.0,21.0,58.46,22.5,109.2
2021-12-25,3.0,2.0,3.0,2.0,1.1099999999999999,1.0,3.9000000000000004
2021-12-26,1.0,,1.0,,0.37,,1.3
2021-12-27,500.0,295.0,245.0,59.0,185.0,147.5,318.5
2021-12-28,170.0,241.0,103.0,29.0,62.9,120.5,133.9
2021-12-29,158.0,194.0,76.0,19.0,58.46,97.0,98.8
2021-12-30,135.0,237.0,48.0,23.0,49.95,118.5,62.400000000000006
2021-12-31,1.0,3.0,4.0,,0.37,1.5,5.2
2022-01-01,9.0,4.0,24.0,4.0,3.33,2.0,31.200000000000003
2022-01-02,6.0,,6.0,2.0,2.2199999999999998,,7.800000000000001
2022-01-03,1521.0,616.0,764.0,162.0,562.77,308.0,993.2
2022-01-04,542.0,428.0,295.0,36.0,200.54,214.0,383.5
2022-01-05,459.0,322.0,233.0,39.0,169.82999999999998,161.0,302.90000000000003
2022-01-06,403.0,280.0,192.0,28.0,149.10999999999999,140.0,249.60000000000002
2022-01-07,338.0,198.0,161.0,42.0,125.06,99.0,209.3
2022-01-10,1031.0,337.0,472.0,85.0,381.46999999999997,168.5,613.6
2022-01-11,675.0,325.0,275.0,47.0,249.75,162.5,357.5
2022-01-12,348.0,262.0,150.0,34.0,128.76,131.0,195.0
2022-01-13,364.0,259.0,130.0,16.0,134.68,129.5,169.0
2022-01-14,306.0,224.0,96.0,18.0,113.22,112.0,124.80000000000001
2022-01-15,140.0,37.0,78.0,26.0,51.8,18.5,101.4
2022-01-16,3.0,,7.0,1.0,1.1099999999999999,,9.1
2022-01-17,790.0,275.0,274.0,58.0,292.3,137.5,356.2
2022-01-18,414.0,248.0,140.0,32.0,153.18,124.0,182.0
2022-01-19,487.0,263.0,112.0,18.0,180.19,131.5,145.6
2022-01-20,524.0,277.0,115.0,23.0,193.88,138.5,149.5
2022-01-21,428.0,196.0,115.0,18.0,158.35999999999999,98.0,149.5
2022-01-22,2.0,1.0,5.0,1.0,0.74,0.5,6.5
2022-01-23,5.0,,2.0,,1.85,,2.6
2022-01-24,865.0,319.0,266.0,63.0,320.05,159.5,345.8
